"POINTID","Coarse","Clay","Sand","Silt","geometry"
31442110,13,18,42,39,c(-4.041820426, 41.10275029)
31442322,30,23,22,55,c(-4.489201339, 42.97948248)
31461690,23,29,27,44,c(-3.234225432, 37.36867381)
31461702,13,31,26,42,c(-3.254959105, 37.47582228)
31461716,45,24,38,38,c(-3.279264735, 37.60080099)
31462302,7,8,57,35,c(-4.421330367, 42.80615207)
31463472,11,12,39,49,c(-7.726757444, 53.05556801)
31481710,13,33,29,38,c(-3.246598517, 37.55037305)
31482294,11,20,35,45,c(-4.379904926, 42.73885955)
31501706,26,24,29,47,c(-3.217442768, 37.51778595)
31502084,16,8,65,27,c(-3.919462954, 40.88210963)
31502300,22,22,32,45,c(-4.368891294, 42.79535175)
31502332,45,19,37,44,c(-4.438798487, 43.07824131)
31522082,12,13,53,35,c(-3.892143951, 40.86767231)
31522114,11,9,60,31,c(-3.956201251, 41.15155675)
31523402,37,11,41,48,c(-7.389733651, 52.46067891)
31541648,59,11,51,38,c(-3.074103514, 37.00585601)
31541666,52,13,45,42,c(-3.104566199, 37.1667199)
31542110,18,19,25,55,c(-3.924727564, 41.11939757)
31542332,25,18,40,42,c(-4.390487306, 43.08513885)
31561686,40,9,60,31,c(-3.11647576, 37.34849795)
31562104,6,10,49,41,c(-3.889287813, 41.06948324)
31562114,19,26,28,46,c(-3.909327716, 41.15819249)
31582088,18,6,64,30,c(-3.834027572, 40.93081443)
31602090,49,8,66,27,c(-3.814632086, 40.95185401)
31602102,16,11,43,46,c(-3.838483073, 41.05834023)
31602108,15,12,61,27,c(-3.850450282, 41.11157572)
31602144,12,14,45,41,c(-3.922843082, 41.43088235)
31602282,38,18,34,47,c(-4.2100153, 42.65321672)
31602310,29,19,32,48,c(-4.270221843, 42.90090533)
31621666,31,13,38,49,c(-3.016073297, 37.17904644)
31621678,47,23,37,41,c(-3.036363352, 37.28628358)
31621696,19,25,43,32,c(-3.066967119, 37.44709819)
31622088,36,9,64,26,c(-3.787305674, 40.93738874)
31622092,30,11,65,24,c(-3.795224895, 40.97288969)
31622098,18,16,27,58,c(-3.807126779, 41.0261369)
31622314,3,7,54,39,c(-4.254772869, 42.939693)
31623442,14,19,31,50,c(-7.386790358, 52.82959242)
31641672,28,19,24,57,c(-3.004063355, 37.23573922)
31641680,35,10,57,32,c(-3.017588157, 37.30722945)
31641698,43,27,33,40,c(-3.048165166, 37.46804692)
31642090,13,12,47,41,c(-3.767893263, 40.95841948)
31642104,21,7,63,30,c(-3.79564159, 41.08266662)
31642112,35,10,63,27,c(-3.811565626, 41.15365261)
31642144,16,33,33,34,c(-3.875759911, 41.43750688)
31642320,14,20,32,48,c(-4.243634273, 42.99616562)
31643418,20,20,28,53,c(-7.273252169, 52.62526176)
