"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
28101854,"PT","PT1","PT18","PT184",c(-7.300388487, 38.21867155)
28102060,"PT","PT1","PT16","PT16H",c(-7.793248633, 40.02982153)
28102114,"PT","PT1","PT16","PT16G",c(-7.928871831, 40.50330277)
28102276,"PT","PT1","PT11","PT111",c(-8.352928966, 41.92054381)
28102420,"ES","ES1","ES11","ES111",c(-8.752898803, 43.1762671)
28121858,"PT","PT1","PT18","PT184",c(-7.28730728, 38.25799804)
28122020,"PT","PT1","PT16","PT16H",c(-7.671810213, 39.68293879)
28122416,"ES","ES1","ES11","ES111",c(-8.71753128, 43.14590849)
28142050,"PT","PT1","PT16","PT16H",c(-7.722771242, 39.95049214)
28142280,"PT","PT1","PT11","PT111",c(-8.316700412, 41.96420875)
28142338,"ES","ES1","ES11","ES114",c(-8.474975549, 42.47048879)
28142384,"ES","ES1","ES11","ES111",c(-8.603082951, 42.87158211)
28162314,"ES","ES1","ES11","ES114",c(-8.385418479, 42.26545122)
28162332,"ES","ES1","ES11","ES114",c(-8.434749495, 42.42253976)
28181850,"PT","PT1","PT18","PT184",c(-7.202072105, 38.19971281)
28181874,"ES","ES4","ES43","ES431",c(-7.25722835, 38.41119899)
28181910,"PT","PT1","PT18","PT187",c(-7.340885575, 38.72823053)
28181964,"PT","PT1","PT18","PT186",c(-7.468486588, 39.20333372)
28182018,"PT","PT1","PT16","PT16H",c(-7.598686238, 39.67790499)
28182048,"PT","PT1","PT16","PT16H",c(-7.672168018, 39.94132617)
28182148,"PT","PT1","PT16","PT16G",c(-7.923217475, 40.81821392)
28182418,"ES","ES1","ES11","ES111",c(-8.651346652, 43.17670889)
28201786,"ES","ES6","ES61","ES615",c(-7.035233879, 37.63925247)
28201818,"ES","ES6","ES61","ES615",c(-7.107086195, 37.92160592)
28201840,"PT","PT1","PT18","PT184",c(-7.156976481, 38.11561489)
28201948,"PT","PT1","PT18","PT186",c(-7.407858387, 39.06673816)
28202116,"PT","PT1","PT16","PT16G",c(-7.818808675, 40.54203908)
28202128,"PT","PT1","PT16","PT16G",c(-7.849172891, 40.64722143)
28202170,"PT","PT1","PT11","PT11C",c(-7.956548904, 41.01515363)
