"POINTID_2015","POINTID_2018","SURVEY_DATE","Revisited_point","Elevation","Coarse","Clay","Sand","Silt","pH_CaCl2_2015","pH_CaCl2_2018","pH_H20","pH_H2O","EC_2015","EC_2018","OC_2015","OC_2018","OC..20.30.cm.","CaCO3_2015","CaCO3_2018","CaCO3..20.30.cm.","P_2015","P_2018","N_2015","N_2018","K_2015","K_2018","LC_2015","LC_2018","LU_2015","LU_2018","NUTS_0_2015","NUTS_0_2018","NUTS_1_2015","NUTS_1_2018","NUTS_2_2015","NUTS_2_2018","NUTS_3_2015","NUTS_3_2018","Soil_Stones","Depth","Ox_Al","Ox_Fe","Elev","TH_LAT","TH_LONG"
27121756,27121756,"14-07-18","No",388,NA,NA,NA,NA,7.4,7.3,7.89,8,15.72,17.18,19.9,"26","",744,"711",NA,54.1,"23",2.1,"2.6",104.6,"177.4","B75","F40","U111","U415","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",2,"0-20 cm",NA,NA,239,37.15098681,-8.155341858
27122016,27122016,"09-05-18","No",201,NA,NA,NA,NA,7,7,7.23,7.6,21.8,15.43,18.7,"14.5","13.7",8,"19",19,7.2,"< LOD",1.9,"1.5",139.3,"121.3","B81","B81","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-20 cm",NA,NA,158,39.43207414,-8.795564111
27141834,27141834,"02-07-18","No",173,NA,NA,NA,NA,5,5,5.47,5.54,5.19,12.89,8.3,"9.8","",0,NA,NA,6.4,"18.9",0.8,"1.2",46.8,"126.5","E20","B13","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,179,37.84102488,-8.318924201
27161812,27161812,"23-07-18","No",58,NA,NA,NA,NA,6.2,6.3,6.52,6.85,15.9,15.59,15.9,"18.3","15",0,NA,NA,13.4,"15.2",2,"2.1",27.2,"36.8","E10","B55","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,222,37.65202644,-8.244007388
27162028,27162028,"20-06-18","No",162,NA,NA,NA,NA,7.2,7,7.56,7.33,17.74,25.1,27.9,"34.1","25",357,"280",309,7.3,"< LOD",3.1,"3.5",393.7,"417.6","B81","B81","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16F","PT16F",1,"0-20 cm",NA,NA,360,39.54593442,-8.781341154
27181846,27181846,"02-07-18","No",302,NA,NA,NA,NA,5.3,5.7,5.72,6.3,5.35,8.15,5.9,"5.1","3.5",0,NA,NA,13,"15.3",0.7,"0.5",80.1,"94.9","B81","B81","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",1.5,0.8,117,37.95506483,-8.303628792
27182008,27182008,"08-05-18","No",433,NA,NA,NA,NA,6.6,6.8,6.86,7.36,9.43,14.61,18.3,"16.1","",2,"4",NA,4.2,"< LOD",1.9,"1.4",229.8,"201.1","E10","E20","U111","U415","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-10 cm",NA,NA,189,39.37538276,-8.707174304
27201772,27201772,"17-07-18","No",226,NA,NA,NA,NA,6.4,4.5,6.57,5.31,18.13,4.36,22.3,"24.8","",3,NA,NA,0,"< LOD",1.9,"1.8",144.3,"104.4","C10","C10","U120","U120","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",2,"0-20 cm",NA,NA,573,37.30884037,-8.105164104
27201962,27201962,"31-05-18","No",593,NA,NA,NA,NA,4.2,4.3,4.96,4.96,3.84,6.59,13.5,"9.9","7",0,NA,NA,5,"< LOD",0.9,"0.7",37.1,"19.5","C32","C32","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-20 cm",NA,NA,100,38.97699355,-8.567653831
27202006,27202006,"09-05-18","No",136,NA,NA,NA,NA,7.3,7.1,7.58,7.92,16.61,18.81,11.7,"24.9","16.5",338,"237",275,20.7,"21",1.9,"2.1",156.5,"272.1","B43","E30","U111","U112","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",2,"0-20 cm",NA,NA,146,39.36230016,-8.679456518
27221750,27221750,"14-07-18","No",71,NA,NA,NA,NA,7.1,7,7.36,7.76,20.8,19.66,24.4,"30","",551,"559",NA,6.4,"< LOD",1.5,"2.2",237.4,"301.3","D10","D10","U410","U420","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,139,37.11947836,-8.031746353
27221822,27221822,"14-05-18","No",138,NA,NA,NA,NA,5.9,5.8,6.15,6.38,7.57,6.49,15,"17.7","11.8",1,NA,NA,15.2,"< LOD",1.5,"1.9",172.3,"141.9","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",1.2,3.4,240,37.75280367,-8.201674106
27221858,27221858,"22-06-18","No",230,NA,NA,NA,NA,4.6,4.7,5.24,5.52,4.03,4.32,7.4,"5.9","3.7",0,NA,NA,8.2,"< LOD",0.8,"0.6",63.4,"48.1","E10","E10","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,137,38.06908735,-8.288325177
27241758,27241758,"15-07-18","No",278,NA,NA,NA,NA,7.5,7,7.89,7.65,23,16.49,15.4,"20.7","18",686,"613",591,8.7,"< LOD",2,"1.9",262.6,"227.9","B81","B81","U111","U111","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",0.5,2.1,197,37.1941453,-8.02847573
27241816,27241816,"28-07-18","No",193,NA,NA,NA,NA,4.7,4.7,5.17,5.62,12.5,8.01,23.1,"25.8","",0,NA,NA,11.7,"14.1",1.8,"2.1",80.1,"110.9","E10","E20","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,302,37.70434947,-8.165260477
27241888,27241888,"16-06-18","No",306,NA,NA,NA,NA,4.8,4.8,5.43,5.86,4.2,6.19,10.2,"13.6","",0,"2",NA,4.8,"< LOD",1.1,"1.2",92.8,"170.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,142,38.33679543,-8.339140772
27241916,27241916,"02-07-18","No",436,NA,NA,NA,NA,6,5.2,6.29,5.92,8.4,7.92,27.4,"22.8","20.2",0,NA,NA,8,"< LOD",2.3,"2.1",137,"120.8","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT187","PT187",1,"0-20 cm",NA,NA,222,38.58247455,-8.408011888
27241992,27241992,"10-05-18","No",153,NA,NA,NA,NA,7.4,7.2,7.89,7.83,32.8,14.86,11.4,"12.3","",19,"12",NA,28.6,"27.3",1.3,"1.3",114.7,"190.7","B82","B82","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-20 cm",NA,NA,68,39.24855054,-8.598580275
27242086,27242086,"18-06-18","No",172,NA,NA,NA,NA,4.6,4.3,5.06,5.25,3.25,3.34,5.5,"5.6","",0,"1",NA,0,"< LOD",0.4,"0.4",26.9,"22.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16E","PT16E",1,"0-20 cm",NA,NA,95,40.07083025,-8.841867931
27281760,27281760,"15-07-18","No",189,NA,NA,NA,NA,6.9,4.7,7.25,5.66,17.41,3.54,7.7,"21.6","",8,NA,NA,4.1,"< LOD",0.8,"1.4",42.4,"61.7","D10","D10","U410","U414","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,267,37.22023173,-7.98926198
27281838,27281838,"24-07-18","No",165,NA,NA,NA,NA,7.2,6.3,7.39,7,12.7,8.91,9.3,"12.8","",4,NA,NA,36.8,"52.5",1.1,"1.3",402.8,"545.8","B81","B81","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,157,37.90628533,-8.173618568
27281850,27281850,"02-07-18","No",352,NA,NA,NA,NA,4.5,5.1,5.26,5.78,4.92,6.23,6.6,"24","",1,NA,NA,18.5,"20",0.7,"1.6",99.5,"63.3","E20","B11","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,149,38.01172717,-8.202449758
27281940,27281940,"08-06-18","No",49,NA,NA,NA,NA,4.9,5.1,5.46,5.89,3.66,5.55,11,"7.7","6",0,NA,NA,6.6,"< LOD",0.9,"0.5",61.7,"35.3","C32","C32","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT187","PT187",1,"0-20 cm",NA,NA,174,38.80165119,-8.422782643
27282072,27282072,"07-07-18","No",103,NA,NA,NA,NA,5.4,4.7,5.87,5.25,5.12,19.03,7.9,"16.8","",0,"1",NA,6.1,"13.2",0.8,"1.4",127.1,"132.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16F","PT16F",1,"0-20 cm",NA,NA,128,39.957369,-8.759527193
27282102,27282102,"21-06-18","No",91,NA,NA,NA,NA,4.2,5.2,4.89,5.87,3.01,3.58,10.3,"7.9","",0,"1",NA,4.4,"< LOD",0.8,"0.4",22.5,"21.1","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16E","PT16E",1,"0-20 cm",NA,NA,107,40.21956151,-8.838408174
