"POINTID","BDfine_0_2","coarse_vol","geometry"
29962260,1.36644074006228,0.055173076923077,c(-6.116347503, 42.16217667)
29962314,0.74961616102082,0.216919230769231,c(-6.246783342, 42.63717319)
29981914,1.29525547445256,0.1232,c(-5.31970175, 39.111298)
29982076,1.0853114416139,0.164184615384615,c(-5.668847234, 40.54392297)
29982144,1.13077536314411,0.071278846153846,c(-5.821956148, 41.14401898)
29982166,1.21483580596766,0.134759615384615,c(-5.872357382, 41.33801016)
29982246,1.24119624252102,0.024509615384615,c(-6.059310471, 42.04278576)
30001684,1.20357534891015,0.018923076923077,c(-4.836980239, 37.07348634)
30002386,0.885017460229477,0.132644230769231,c(-6.376825822, 43.27762902)
30002398,0.753735098791404,0.067576923076923,c(-6.406963205, 43.38300125)
30022058,0.925707973403648,0.091257692307692,c(-5.582806599, 40.39236333)
30022410,0.742244931597165,0.066615384615385,c(-6.413026557, 43.49228063)
30041718,1.10372085331569,0.069692307692308,c(-4.858307247, 37.38283422)
30042042,0.605208230582572,0.025211538461538,c(-5.524653866, 40.25468063)
30042190,1.0225510746801,0.200925,c(-5.857342746, 41.56090369)
30042214,1.50756302521008,0.048,c(-5.913110217, 41.77239714)
30042222,1.02123817782496,0.050838461538462,c(-5.931815677, 41.84287479)
30042244,1.20319289563773,0.092215384615385,c(-5.983558394, 42.03663636)
30042340,0.873752318042151,0.147573076923077,c(-6.214657861, 42.88125119)
30061648,1.09532840608005,0.117415384615385,c(-4.702619736, 36.76357878)
30061684,1.1064006594109,0.085430769230769,c(-4.770881688, 37.08395619)
30062134,1.04617454954198,0.141151923076923,c(-5.70589643, 41.0708043)
30081844,1.74899602778034,0.084023076923077,c(-5.062960524, 38.50882635)
30081890,1.11424820319469,0.085984615384615,c(-5.156772296, 38.9167019)
30082100,1.22284380576803,0.054936538461538,c(-5.6063322, 40.7744237)
