"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
49924350,"FI","FI1","FI19","FI197"
49924566,"FI","FI1","FI1D","FI1D5"
49942602,"HU","HU2","HU23","HU233"
49942854,"SK","SK0","SK03","SK032"
49942944,"SK","SK0","SK03","SK031"
49943106,"PL","PL2","PL22","PL224"
49943484,"PL","PL6","PL62","PL622"
49962634,"HU","HU2","HU23","HU233"
49962684,"HU","HU2","HU21","HU211"
49962994,"PL","PL2","PL22","PL225"
49963038,"PL","PL2","PL21","PL21A"
49963192,"PL","PL7","PL71","PL713"
49963200,"PL","PL7","PL71","PL713"
49963254,"PL","PL7","PL71","PL715"
49963260,"PL","PL7","PL71","PL715"
49963290,"PL","PL9","PL92","PL923"
49963494,"PL","PL6","PL62","PL622"
49963498,"PL","PL6","PL62","PL622"
49964190,"FI","FI1","FI1C","FI1C1"
49964200,"FI","FI1","FI1C","FI1C1"
49964460,"FI","FI1","FI19","FI194"
49964622,"FI","FI1","FI1D","FI1D9"
49964636,"FI","FI1","FI1D","FI1D9"
49982656,"HU","HU2","HU23","HU233"
49982866,"SK","SK0","SK03","SK032"
49982916,"SK","SK0","SK03","SK031"
49982938,"SK","SK0","SK03","SK031"
49982962,"SK","SK0","SK03","SK031"
49982970,"SK","SK0","SK03","SK031"
49983196,"PL","PL7","PL71","PL713"
49983208,"PL","PL7","PL71","PL713"
49983234,"PL","PL7","PL71","PL712"
49983280,"PL","PL7","PL71","PL715"
49983340,"PL","PL9","PL92","PL922"
49984222,"FI","FI1","FI1C","FI1C1"
49984564,"FI","FI1","FI1D","FI1D5"
49984648,"FI","FI1","FI1D","FI1D9"
49984918,"FI","FI1","FI1D","FI1D7"
49984936,"FI","FI1","FI1D","FI1D7"
49984954,"FI","FI1","FI1D","FI1D7"
49984978,"FI","FI1","FI1D","FI1D7"
49985014,"FI","FI1","FI1D","FI1D7"
49985170,"FI","FI1","FI1D","FI1D7"
49985224,"FI","FI1","FI1D","FI1D7"
50001942,"IT","ITF","ITF4","ITF45"
50002608,"HU","HU2","HU23","HU233"
50002878,"SK","SK0","SK03","SK032"
50002954,"SK","SK0","SK03","SK031"
50003130,"PL","PL7","PL71","PL713"
50003206,"PL","PL7","PL71","PL713"
50003224,"PL","PL7","PL71","PL712"
50003292,"PL","PL9","PL92","PL926"
50003296,"PL","PL9","PL92","PL926"
50003436,"PL","PL6","PL62","PL622"
50004294,"FI","FI1","FI19","FI196"
50004308,"FI","FI1","FI19","FI197"
50004340,"FI","FI1","FI19","FI197"
50004394,"FI","FI1","FI19","FI197"
50004552,"FI","FI1","FI19","FI195"
50004646,"FI","FI1","FI1D","FI1D9"
50004912,"FI","FI1","FI1D","FI1D7"
50005182,"FI","FI1","FI1D","FI1D7"
50022582,"HU","HU2","HU23","HU231"
50022600,"HU","HU2","HU23","HU233"
50022658,"HU","HU2","HU23","HU233"
50022870,"SK","SK0","SK03","SK032"
50022924,"SK","SK0","SK03","SK031"
50022946,"SK","SK0","SK03","SK031"
50022978,"SK","SK0","SK03","SK031"
50023090,"PL","PL2","PL22","PL22B"
50023248,"PL","PL7","PL71","PL715"
50023320,"PL","PL9","PL92","PL923"
