"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
42002492,"Yes",NA,NA,NA,NA,1,162,5.1,5.39,25.6,18.2,0,48.9,1.9,101.9,"B17","U111","IT","ITC","ITC1","ITC15"
42002496,"Yes",3,17,37,46,1,62,5,5.18,28.3,18.7,0,27,1.9,72.9,"C10","U120","IT","ITC","ITC1","ITC15"
42002504,"Yes",3,19,17,63,1,46,3.8,4.09,39.9,57.4,0,18.1,4.3,91.2,"C10","U120","IT","ITC","ITC1","ITC15"
42002522,"Yes",17,12,35,53,1,46,3.8,3.91,27,44.6,0,24.7,4.1,73.9,"E20","U111","IT","ITC","ITC1","ITC15"
42002582,"Yes",19,1,90,9,1,49,6.9,7.28,21,4.2,11,4.7,0.6,24.2,"C23","U120","IT","ITC","ITC1","ITC14"
42002960,"Yes",NA,NA,NA,NA,1,20,7.5,7.95,24.2,15.9,206,38.9,1.1,305,"B82","U111","DE","DEB","DEB3","DEB3B"
42002968,"Yes",NA,NA,NA,NA,1,47,7.5,7.75,32,15.7,16,29.6,1.9,467.9,"B13","U111","DE","DEB","DEB3","DEB3J"
42002996,"Yes",NA,NA,NA,NA,4,136,7.5,7.72,21.1,12.4,6,34.7,1.6,251.5,"B11","U111","DE","DE7","DE71","DE714"
42003130,"Yes",NA,NA,NA,NA,1,171,4.5,4.58,29.7,36.1,0,115.8,3.8,141.6,"C31","U120","DE","DEA","DEA5","DEA57"
42003148,"Yes",18,26,13,61,1,67,5.2,5.46,52.6,37.8,1,23.9,4.6,90.4,"E20","U111","DE","DEA","DEA5","DEA5B"
42003184,"Yes",NA,NA,NA,NA,1,164,6.7,7,25.4,13.6,2,105.9,1.7,584.4,"B15","U111","DE","DEA","DEA3","DEA38"
42003202,"Yes",NA,NA,NA,NA,1,152,4.3,4.59,29,12,1,131.9,1.2,83,"B16","U111","DE","DEA","DEA4","DEA42"
42003238,"Yes",NA,NA,NA,NA,1,147,5.4,5.61,33.1,10.5,0,64.1,1.3,172.4,"B16","U111","DE","DE9","DE94","DE94E"
42003248,"Yes",NA,NA,NA,NA,1,153,4.6,4.71,59.6,41.7,0,14.6,2.8,46.5,"C32","U120","DE","DE9","DE94","DE94E"
42003288,"Yes",NA,NA,NA,NA,1,167,5.5,5.67,32.9,16.8,0,116.2,1.6,235.4,"E20","U111","DE","DE9","DE94","DE94F"
42003356,"Yes",10,8,49,43,1,148,4.9,5.03,168.9,215.3,1,75.8,14.8,134,"E20","U111","DE","DE9","DE94","DE946"
