"POINTID","Elevation","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3","LC0_Desc.x","Revisited_point","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
32442164,1070,2,17,31,52,2,6,6.19,25.6,28.9,1,10.7,3,63.6,"E10","U420","ES","ES4","ES41","ES417","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32442200,1050,11,8,50,42,3,3.3,4.13,32.8,189.1,1,75.9,6.3,225,"C32","U120","ES","ES4","ES41","ES412","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
32442260,1127,NA,NA,NA,NA,2,7.6,7.79,73.2,14,402,24.1,1.7,309.5,"B11","U111","ES","ES4","ES41","ES412","Cropland","No",1.059,1.239,NA,1.149,1.149,0.02,1.13606103173433,0.008838461538462
32442278,1082,NA,NA,NA,NA,2,7.8,8.47,11.37,2.5,643,0,0.3,79.7,"D10","U420","ES","ES4","ES41","ES412","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461694,911,50,20,39,41,1,7.4,7.8,17.79,4.6,2,0,0.7,54.1,"B74","U111","ES","ES6","ES61","ES611","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461700,1013,18,17,46,37,1,7.4,7.92,7.46,3.6,1,0,0.5,90.7,"B74","U111","ES","ES6","ES61","ES611","Cropland","No",1.121,1.064,NA,1.093,1.0925,0.18,0.969151392847484,0.075634615384615
32461726,1047,23,40,22,38,4,7.6,8.13,15.69,4.7,725,6.7,1,145.7,"F40","U112","ES","ES6","ES61","ES611","Bareland","No",0.995,1.279,NA,1.137,1.137,0.23,0.97339479749753,0.100580769230769
32461736,1017,19,26,34,40,2,7.6,7.96,16.4,17,408,14.5,1.4,138.5,"B13","U111","ES","ES6","ES62","ES620","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461748,1047,20,20,44,36,3,7.5,7.89,16.93,22.2,713,0,1.5,115.4,"D10","U420","ES","ES6","ES62","ES620","Shrubland","No",1.293,1.271,NA,1.282,1.282,0.2,1.13780508619218,0.098615384615385
32461762,1033,36,19,45,36,3,7.4,7.76,20.6,36.3,500,8.9,2.6,357.2,"D10","U120","ES","ES4","ES42","ES421","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461852,1009,36,32,29,39,3,7.6,8.07,14.64,22.6,276,0,1.2,330.3,"E30","U111","ES","ES4","ES42","ES421","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461888,1121,NA,NA,NA,NA,2,7.6,8.06,16.29,9.1,45,20,1,166.7,"B13","U111","ES","ES4","ES42","ES421","Cropland","No",1.27,NA,NA,NA,1.27,0.19,1.13393818628906,0.092807692307692
32461916,1286,NA,NA,NA,NA,1,7.6,8.03,18,19.3,336,36.5,2.1,236.1,"B13","U111","ES","ES4","ES42","ES423","Cropland","No",1.195,1.41,NA,1.303,1.3025,0.21,1.1499521808745,0.105201923076923
32461960,1276,NA,NA,NA,NA,4,7.6,8.17,13.7,0.3,562,5.8,0.9,259.6,"B13","U111","ES","ES4","ES42","ES423","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461978,1034,17,39,13,48,3,7.5,7.68,14.4,26.7,170,0,2.5,641.5,"D10","U111","ES","ES4","ES42","ES423","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32461996,1001,NA,NA,NA,NA,2,7.7,7.99,71,33.6,303,8.5,0.5,93.6,"B31","U111","ES","ES4","ES42","ES423","Cropland","No",1.474,NA,NA,NA,1.474,0.1,1.40632797847183,0.056692307692308
32462024,1078,NA,NA,NA,NA,1,7.3,7.69,20.7,21.5,260,17,2.4,146.3,"B13","U111","ES","ES4","ES42","ES424","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32462086,980,NA,NA,NA,NA,1,7.5,7.83,12.32,19.5,95,6.4,2,333.3,"D20","U420","ES","ES4","ES42","ES424","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32462108,1220,29,40,20,39,2,7.5,7.89,15.04,15.7,230,0,1.1,296.4,"D20","U420","ES","ES4","ES42","ES424","Shrubland","No",0.796,0.907,NA,0.851,0.8515,0.29,0.668009171017375,0.094975
