"SURVEY_DATE","POINTID_2018","Elev","Depth","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","OC..20.30.cm.","CaCO3_2018","CaCO3..20.30.cm.","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","TH_LAT","TH_LONG","LC_2018","LU_2018","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
"25-06-18",40622908,257,"0-20 cm",NA,NA,NA,NA,1,5.6,6.14,14.44,"37.9","","3",NA,"25.6","4.1","208",NA,NA,"FR","FRF","FRF3","FRF33",49.22869397,6.443337356,"B16","U111",0.774,0.947,NA,0.86,0.8605,0.27,0.689805779111487,0.089359615384615
"16-07-18",40623226,8,"0-20 cm",NA,NA,NA,NA,1,5.7,6.14,25.4,"64.1","","1",NA,"46.3","6.7","154.5",NA,NA,"NL","NL2","NL22","NL225",52.08340249,6.219800114,"E20","U111",0.777,1.242,NA,1.009,1.0095,0.19,0.882821781458728,0.073771153846154
"07-08-18",40623316,6,"0-20 cm",4,6,57,37,1,5.2,5.92,7.54,"51.3","",NA,NA,"89.3","3.3","160.5",NA,NA,"NL","NL1","NL12","NL126",52.89092851,6.150015955,"E20","U362",NA,NA,NA,NA,NA,NA,NA,NA
"16-07-18",40642274,259,"0-20 cm",NA,NA,NA,NA,1,4.6,5.43,4.58,"21.5","",NA,NA,"< LOD","1.4","72.1",NA,NA,"FR","FRL","FRL0","FRL05",43.52576197,6.828074162,"C10","U420",0.938,1.146,NA,1.042,1.042,0.26,0.860772493860236,0.1042
"01-06-18",40642292,721,"0-20 cm",NA,NA,NA,NA,1,6.6,6.81,26.5,"119.4","","10",NA,"17.1","6.1","455.5",NA,NA,"FR","FRL","FRL0","FRL03",43.68801574,6.819208798,"C32","U120",NA,NA,NA,NA,NA,NA,NA,NA
"27-06-18",40642558,732,"0-20 cm",30,31,15,55,1,5.7,6,19.13,"37.3","",NA,NA,"10.2","5","137",NA,NA,"FR","FRK","FRK2","FRK28",46.08337359,6.680102034,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"26-06-18",40642846,274,"0-20 cm",NA,NA,NA,NA,1,6.5,6.94,7.79,"6.4","",NA,NA,"10.3","1","198.2",NA,NA,"FR","FRF","FRF3","FRF31",48.67261114,6.510285715,"B11","U111",NA,NA,NA,NA,NA,NA,NA,NA
"25-06-18",40642918,314,"0-20 cm",NA,NA,NA,NA,1,5,5.4,14.54,"56.4","","1",NA,"10.7","4.2","264.4",NA,NA,"FR","FRF","FRF3","FRF33",49.31937724,6.46428332,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"18-07-18",40643300,0,"0-20 cm",NA,NA,NA,NA,1,5.3,5.75,23.34,"22.8","",NA,NA,"59","1.9","146.1",NA,NA,"NL","NL1","NL13","NL133",52.74832218,6.192233529,"B21","U111",NA,NA,NA,NA,NA,NA,NA,NA
"26-07-18",40662694,702,"0-20 cm",NA,NA,NA,NA,1,6.5,6.89,27.59,"87.8","","25",NA,"14.4","7.3","375.2",NA,NA,"FR","FRC","FRC2","FRC21",47.30736547,6.629014667,"E20","U111",0.704,0.74,NA,0.722,0.722,0.11,0.662826809702529,0.030546153846154
